Codigo,Nome,CodCurto,PVPBase,PesoBrt,Marca,Familia,NomeXtra
350013046801,Congelador Vert. Integ. Beko 2950 B,46801,"345,00",52,BEKO,115,220 L | 5 Gavetas | Classe B | 1440 x 540 x 548 (A x L x P)
350033047502,Maq.Louça Integ. Beko D 3520 BW,47502,"325,00",44,BEKO,115,12 Talheres | 5 Programas | Classe B | Branca
350013046811,Congelador Vert. Integ. Beko FBI 5850 HCA+,46811,"550,00",58,BEKO,115,220 L / 196 L | 8 Gavetas | Classe A+ | 1770 x 540 x 548 mm (A x L x P)
350076048102,Exaustor Telescópico Beko CTB 6407 X,48102,"90,00","8,4",BEKO,115,Telescópico 60 cm | Inox | 280 m3/h | 1 Motor
350076048103,Exaustor Telescópico Beko CTB 6406/6407 W,48103,"81,00","8,4",BEKO,115,Telescópico 60 cm | Branco | 375 m3/h | 1 Motor
350033047525,Maq.Louça Integ. Beko DSN 6830,47525,"445,00",44,BEKO,115,12 Talheres | Mini LCD | 8 Programas | Classe A | Painel Branco
250048045040,TV 74 cm Beko TVC29S10PFNX 100,45040,"380,00","37,5",BEKO,220,Flat | TXT | Stereo 
350086048742,Esquentador Beko B 250 HB,48742,"342,00",18,BEKO,190,Completamente automático | Consumo gás natural - 2.3 | Consumo gás butano - 1.7 | Sistema segurança | Temperaturas 40-65 | Medidas: 63x35x24
350028048527,Placa Encast. Beko HIC 64403 T,48527,"238,00","8,9",BEKO,115,Placa 60 cm | 4 Vitrocerâmicas c/ 1 Duo + 1 Extensão | Touch Control
350076048114,Exaustor Telescópico Beko CTB 9407 X,48114,"140,00","8,2",BEKO,115,Telescópico 90 cm | Inox | 375 m3/h | 2 Motores
350019048034,Forno Encast. Beko OIM 24500 W,48034,"442,00","37,5",BEKO,115,Forno Multifunções (12) | Parede traseira catalítica | Programador Digital | 65 lt. | 43 dbA | Vitreous Line
350028048533,Placa Encast. Beko HIC 64402 E,48533,"220,00","8,6",BEKO,115,Placa 60 cm | 4 Vitrocerâmicas com 1 duo| Touch Control
350028048534,Placa Encast. Beko HII 68600 PTX,48534,"564,00","16,6",BEKO,115,Placa 60 cm Indução | 8 Zonas Flexíveis | Slider Control | Timer | Moldura Inox
350019048055,Forno Encast. Beko BIM 24400 WCS,48055,"379,00",40,BEKO,115,Forno Multifunções (12) | Parede traseira catalítica | Programador Digital | Prateleira Telescópica  | 65 lt. | 43 dbA | Vitreous Line
350028048590,Dominó Encast. Beko HDMC 32400 TX,48590,"170,00","4,9",BEKO,115,30cm | Dueto 2 focos vitrocerâmicos | Comandos Touch Control | Inox
350028048591,Dominó Encast. Beko HDCC 32200 X,48591,"145,00","4,8",BEKO,115,30cm | Dueto 2 focos vitrocerâmicos | Comandos Frontais | Inox
350028048595,Placa Encast. Beko HII 64500 FHT,48595,"449,00","14,4",BEKO,115,Placa 60 cm Indução com 2 Zonas Flexíveis + 2 Indução Normal | Slider Control | Timer
350019048056,Forno Encast. Beko BIE 24300 B,48056,"298,00",40,BEKO,115,Forno Multifunções (6) | Programador Digital | 72 lt. | 43 dbA | Home Line | Negro
350028048529,Placa Encast. Beko HILW 75222 SL,48529,"272,00","16,1",BEKO,115,Placa 70 cm | Cristal Gás | 4 Standard + 1 Wok | Ignição Electrónica | Válvula Segurança
350004046135,Congelador Horizontal Beko HSA 32540 GD,46135,"452,00",43,BEKO,120,300 L | Classe B | 860 x 1100 x 725 (A x L x P) | Glass Door
350013046817,Frigorifico Integ. Beko B 1751,46817,"296,00",34,BEKO,115,1 Porta - 142 L  - Classe A+ - 840 x 540 x 548 (A x L x P)
350032047216,Maquina Secar Beko DCU 7230,47216,"344,00",38,BEKO,135,Secador P/Condensação | 15 Programas | 7 Kg | Controlo Humidade Eletrónico | Classe B
350032047204,Maquina Secar Beko DV 7110,47204,"247,00",33,BEKO,135,Secador P/Evacuação | 7 Kg | 8 Programas | Classe: C
350032047220,Maquina Secar Beko DC 7130,47220,"348,00",37,BEKO,135,Secador P/Condensação | 15 Programas | 7 Kg | Controlo de Humidade Eletrónico | Classe: B
350028048541,Placa Encast. Beko HIZG 64110 SX,48541,"121,00",10,BEKO,115,Placa 60 cm | 4 Gás Standard | Isqueiro | Válvula Segurança | Inox
350028048598,Dominó Encast. Beko HDCE 32200 X,48598,"99,00","5,8",BEKO,115,30cm | Dominó 2 focos electricos | Comandos Frontais | Inox
350028048599,Dominó Encast. Beko HDCG 32220 FX,48599,"79,00",3,BEKO,115,30cm | Dueto 2 gás | Isqueiro | Comandos Frontais | Inox
350076048113,Exaustor Canopy Beko CCB 6487 S,48113,"105,00","5,4",BEKO,115,Canopy 52 cm | Silver | 375 m3/h | 2 motores
350070048913,Filtro Carbono Exaustor Beko (CWB6441/7441/9441X) 9188065503,48913,"15,30","0,3",BEKO,800,
350070048914,Filtro Carbono Exaustor Beko (CWB9500/9600/9710X) 9188457010,48914,"15,30","0,3",BEKO,800,
350017048623,Fogão Gás Beko CSG 62110 DX,48623,"376,00","50,5",BEKO,110,4 Gás | Forno a Gás | Inox | 60 x 60 | Válvula Segurança
350013046254,Frigorifico Beko DN  156720 DX,46254,"905,00",107,BEKO,130,2 Portas | 410 L | Wat. Disp. |  Classe A+ | 1850 x 740 x 680 (A x L x P) | 
350013046181,Combinado Beko CN 232220,46181,"492,00",74,BEKO,130,No Frost |320 L / 273 L (193/80) | 3 Gavetas | Classe A+ (304 Kwh/ano) | 1853  x  595 x 600 mm  (A x L x P )
