Codigo,Nome,CodCurto,PVPBase,PesoBrt,Marca,Familia,NomeXtra,GAMA,Familia,subfamilia,stock
GML9900,Filtros para Aspirador Grundig VCF 76,GML9900,"15,00","0,14499999582768",GRUNDIG,190,,ACESSÓRIOS E BATERIAS,ACESSÓRIOS E BATERIAS,ACESSÓRIOS,sim
VRK000,Óculos Grundig AS 3D G,VRK000,"165,00",1,GRUNDIG,295,Óculos activos 3D,ACESSÓRIOS E BATERIAS,ACESSÓRIOS E BATERIAS,ACESSÓRIOS,sim
275075060311,Power Bank Hisense 4400MAH PP520,60311,"19,00","0,05",HISENSE,295,,ACESSÓRIOS E BATERIAS,ACESSÓRIOS E BATERIAS,ACESSÓRIOS,sim
350070048930,Anti-Calcário para Ferro Beko 9178007791,48930,"9,50","0,5",BEKO,800,,ACESSÓRIOS E BATERIAS,ACESSÓRIOS E BATERIAS,ACESSÓRIOS,sim
350070048920,Cesto / Acessório p/Maq. Secar Beko 2963040100,48920,"21,50","0,5",BEKO,800,,ACESSÓRIOS E BATERIAS,ACESSÓRIOS E BATERIAS,ACESSÓRIOS,sim
350070048926,Filtro Carbono Exaustor Beko (2 Pc) (CTB6250X/6407X) 9197059543,48926,"27,00","0,5",BEKO,800,,ACESSÓRIOS E BATERIAS,ACESSÓRIOS E BATERIAS,ACESSÓRIOS,sim
350070048915,Filtro Carbono Exaustor Beko (CFB6433/9433X) 9188065345,48915,"17,50","0,5",BEKO,800,,ACESSÓRIOS E BATERIAS,ACESSÓRIOS E BATERIAS,ACESSÓRIOS,sim
350070048927,Filtro Carbono Exaustor Beko (CFB6433X/9433X) 9197060193,48927,"16,00","0,5",BEKO,800,,ACESSÓRIOS E BATERIAS,ACESSÓRIOS E BATERIAS,ACESSÓRIOS,sim
350070048918,Filtro Carbono Exaustor Beko (CTB6407/9407X) 9188065385,48918,"12,00","0,5",BEKO,800,,ACESSÓRIOS E BATERIAS,ACESSÓRIOS E BATERIAS,ACESSÓRIOS,sim
350070048913,Filtro Carbono Exaustor Beko (CWB6441/7441/9441X) 9188065503,48913,"15,30","0,3",BEKO,800,,ACESSÓRIOS E BATERIAS,ACESSÓRIOS E BATERIAS,ACESSÓRIOS,sim
