Codigo,Nome,CodCurto,PVPBase,PesoBrt,Marca,Familia,NomeXtra,Gama,Familia,SubFamilia,status
GLR4900,Hi-Fi Lifestyle Grundig Ovation 3 CDS 8120 ENC,GLR4900,380,"5,7",GRUNDIG,215,,IMAGEM E SOM,EQUIPAMENTOS AUDIO,APARELHAGENS MICROS,sim
GLR7500,Hi-Fi Micro Grundig M 1000 BT,GLR7500,119,"3,4",GRUNDIG,215,,IMAGEM E SOM,EQUIPAMENTOS AUDIO,APARELHAGENS MICROS,sim
GLR7610,Hi-Fi Micro Grundig M 2000 BT,GLR7610,161,"4,7",GRUNDIG,215,,IMAGEM E SOM,EQUIPAMENTOS AUDIO,APARELHAGENS MICROS,sim
GMH1070,Hi-Fi Micro Grundig MF 2000 BT,GMH1070,0,"3,3",GRUNDIG,215,,IMAGEM E SOM,EQUIPAMENTOS AUDIO,APARELHAGENS MICROS,sim
GLR2300,Hi-Fi Micro Grundig PSW 5000 white/green,GLR2300,0,"5,205",GRUNDIG,215,,IMAGEM E SOM,EQUIPAMENTOS AUDIO,APARELHAGENS MICROS,sim
350032047196,Maq.Integ. Beko WITV 8612 XW0,47196,470,73,BEKO,115,1200 RPM Variável - 8 Kg - Óculo Grande - Mini LCD - Variável - Classe A+++AB,GRANDES DOMÉSTICOS,ENCASTRE - MAQ.L.ROUPA,MAQ.LAVAR ROUPA,sim
350032047197,Maq.Integ. Beko WITV 8712 XW0,47197,495,73,BEKO,115,1400 RPM Variável - 8 Kg - Óculo Grande - Mini LCD - Variável - Classe A+++AB,GRANDES DOMÉSTICOS,ENCASTRE - MAQ.L.ROUPA,MAQ.LAVAR ROUPA,sim
350032047199,Maq.Integ. Beko WMI 81242,47199,475,73,BEKO,115,1200 RPM Variável - 8 Kg - Óculo Grande - Mini LCD - Variável - Classe A+AB,GRANDES DOMÉSTICOS,ENCASTRE - MAQ.L.ROUPA,MAQ.LAVAR ROUPA,não
350032047198,Maq.Integ. Beko WMI 81442,47198,495,73,BEKO,115,1400 RPM Variável - 8 Kg - Óculo Grande - Mini LCD - Variável - Classe A+++AB,GRANDES DOMÉSTICOS,ENCASTRE - MAQ.L.ROUPA,MAQ.LAVAR ROUPA,não
350033047615,Maq.Louça Beko DFN 05210 W,47615,312,41,BEKO,135,12 Talheres | LED Control | 5 Programas | Classe A+AA,GRANDES DOMÉSTICOS,MAQUINAS LAVAR LOUÇA,MLL DE 60 Cm,não
