Tabela gerada em:2020-04-21 10:04:24;;;;;;;;;;;;;
;;;;;;;;;;;;;
Listagem de produtos jp.di;;;;;;;;;;;;;
EAN;Ref. Fabricante;Designação;Preço Final;Stock;Unidade Negócio;Linha Produto;Família;Sub-Família;Categoria;Marca;Data modificação;Preço Unitário;Taxa
;;;;;;;;;;;;;
 8715946201054;C32C824121;Placa de Interface EPSON UB-U02III - TM Series;EUR 63,72 ;Imediata;Periféricos;Acessorios;Sistemas de POS;;;EPSON;2020-04-21 06:06:59;EUR 63,72 ;EUR 0,00 
 5603209003503;350;Suporte de Teto NAPOFIX para Projetor - 350;EUR 15,63 ;Imediata;Periféricos;Acessorios;Projectores;Suportes;;NAPOFIX;2020-04-21 06:06:59;EUR 15,63 ;EUR 0,00 
 8715946426327;V12H003B23;Suporte EPSON Teto ELPMB23 Branco - EMP1800/1700/S5/X5/83H/822H;EUR 127,41 ;Imediata;Periféricos;Acessorios;Projectores;Suportes;;EPSON;2020-04-21 06:06:59;EUR 127,41 ;EUR 0,00 
 5603209002513;251;"Suporte de Parede NAPOFIX 21-43\"" Inclinável 1 Braço - 251";EUR 20,09 ;Imediata;Periféricos;Acessorios;Suportes;Suportes;;NAPOFIX;2020-04-21 06:06:59;EUR 20,09 ;EUR 0,00 
 8713439168914;16891;Transformador TRUST Plug&Go 125W Notebook - 16891;EUR 46,63 ;Imediata;Periféricos;Acessorios;Portatil;Carregadores;;TRUST;2020-04-21 06:06:59;EUR 46,63 ;EUR 0,00 
 0760557784647;TS0MCF2PC;Adaptador TRANSCEND Compact Flash (Type I) p/ PCMCIA Card;EUR 9,86 ;Imediata;Periféricos;HUBs USB e Leitores de Cartões;Leitores de Cartões;;;TRANSCEND;2020-04-21 06:06:59;EUR 9,86 ;EUR 0,00 
 5603209002506;250;"Suporte de Parede NAPOFIX 21-43\"" Inclinável - 250";EUR 16,44 ;Imediata;Periféricos;Acessorios;Suportes;Suportes;;NAPOFIX;2020-04-21 06:06:59;EUR 16,44 ;EUR 0,00 
 5603209002537;253;"Suporte de Parede NAPOFIX 21-43\"" Fixo - 253";EUR 12,15 ;Imediata;Periféricos;Acessorios;Suportes;Suportes;;NAPOFIX;2020-04-21 06:06:59;EUR 12,15 ;EUR 0,00 
 5603209002551;255;"Suporte de Parede NAPOFIX 32-65\"" Inclinável - 255";EUR 24,00 ;Imediata;Periféricos;Acessorios;Suportes;Suportes;;NAPOFIX;2020-04-21 06:06:59;EUR 24,00 ;EUR 0,00 
 5603209002605;260;"Suporte de Parede NAPOFIX 42-90\"" Fixo - 260";EUR 26,44 ;Imediata;Periféricos;Acessorios;Suportes;Suportes;;NAPOFIX;2020-04-21 06:06:59;EUR 26,44 ;EUR 0,00 
 5603209002704;270;"Suporte de Parede NAPOFIX 42-90\"" Inclinável - 270";EUR 33,25 ;Imediata;Periféricos;Acessorios;Suportes;Suportes;;NAPOFIX;2020-04-21 06:06:59;EUR 33,25 ;EUR 0,00 
 5603209002759;275;"Suporte de Parede NAPOFIX 37-70\"" Inclinável 2 Braços - 275";EUR 48,13 ;Imediata;Periféricos;Acessorios;Suportes;Suportes;;NAPOFIX;2020-04-21 06:06:59;EUR 48,13 ;EUR 0,00 
 5603209002803;280;"Suporte de Teto NAPOFIX 42-90\"" - 280";EUR 50,88 ;Imediata;Periféricos;Acessorios;Suportes;Suportes;;NAPOFIX;2020-04-21 06:06:59;EUR 50,88 ;EUR 0,00 
 0010343607552;C13S053022;Unidade de Transferência EPSON 35k - Aculaser C4200 ;EUR 38,70 ;Imediata;Supplies;Laser;Toners;;;EPSON;2020-04-21 06:06:59;EUR 38,70 ;EUR 0,00 
 0000000000000;LCS-KC4-1.8;Cabo Longshine p/ KVM K908, K916 e KL-708M 1.8m - KC4-1.8;EUR 5,31 ;Imediata;Periféricos;KVM;KVM Cables;;;LONGSHINE;2020-04-21 06:06:59;EUR 5,31 ;EUR 0,00 
 0760557810339;TS16GCF133;Compact Flash Card TRANSCEND 16GB 133x -TS16GCF133;EUR 17,15 ;Limitado;Periféricos;Armazenamento;Cartões;CARD;;TRANSCEND;2020-04-21 06:06:59;EUR 16,89 ;EUR 0,26 
 8713439166972;16697;Colunas TRUST 2.0 Mila SpeakerSet - 16697;EUR 10,54 ;Imediata;Periféricos;Audio-Multimedia e Comunicação;Colunas;;;TRUST;2020-04-21 06:06:59;EUR 10,54 ;EUR 0,00 
 8713439169775;16977;Tapete para rato TRUST BigfootGel Mouse Pad - Black - 16977;EUR 6,56 ;Imediata;Periféricos;Teclados e Ratos;Tapetes de rato;;;TRUST;2020-04-21 06:06:59;EUR 6,56 ;EUR 0,00 
 4977766628112;DK11201;Etiquetas BROTHER Endereço Standard 29x90 DK11201;EUR 6,62 ;Imediata;Supplies;Matriciais e Térmicas;Etiquetas;;;BROTHER;2020-04-21 06:06:59;EUR 6,62 ;EUR 0,00 
 4977766628167;DK11204;Etiquetas BROTHER 400 UnidadesMultiuso 17x54 DK11204;EUR 4,19 ;Imediata;Supplies;Matriciais e Térmicas;Etiquetas;;;BROTHER;2020-04-21 06:06:59;EUR 4,19 ;EUR 0,00 
 4977766628136;DK11209;Etiquetas BROTHER 800 Unid. Ender. Peq. Autoc. 62x29 DK11209;EUR 8,50 ;Imediata;Supplies;Matriciais e Térmicas;Etiquetas;;;BROTHER;2020-04-21 06:06:59;EUR 8,50 ;EUR 0,00 
 4977766634557;DK11218;Etiquetas BROTHER 1000 Unid. Circulares 24mm - DK11218;EUR 8,97 ;Imediata;Supplies;Matriciais e Térmicas;Etiquetas;;;BROTHER;2020-04-21 06:06:59;EUR 8,97 ;EUR 0,00 
 4977766628204;DK22211;Rolo de Pelicula BROTHER Autocol.Contin. (Branca) - DK22211;EUR 14,04 ;Imediata;Supplies;Matriciais e Térmicas;Rolo de Papel;;;BROTHER;2020-04-21 06:06:59;EUR 14,04 ;EUR 0,00 
 4977766654982;DK22223;Rolo de Papel BROTHER Autocol.Contin.50mm Branco DK22223;EUR 9,22 ;Imediata;Supplies;Matriciais e Térmicas;Rolo de Papel;;;BROTHER;2020-04-21 06:06:59;EUR 9,22 ;EUR 0,00 
 8715946129150;C32C825341LG;Carregador EPSON PS-180 - TM Series;EUR 33,48 ;Imediata;Periféricos;Acessorios;Sistemas de POS;;;EPSON;2020-04-21 06:06:59;EUR 33,48 ;EUR 0,00 
 4977766628198;DK22205;Fita BROTHER DK-22205 Branca 62MM P/QL-5X0 QL-650TD;EUR 11,03 ;Imediata;Supplies;Matriciais e Térmicas;Fitas;;;BROTHER;2020-04-21 06:06:59;EUR 11,03 ;EUR 0,00 
 4977766628181;DK22210;Fita BROTHER DK22210 Branca 29MM;EUR 6,62 ;Imediata;Supplies;Matriciais e Térmicas;Fitas;;;BROTHER;2020-04-21 06:06:59;EUR 6,62 ;EUR 0,00 
 4977766635127;DK44205;Fita BROTHER DK44205 ContinuoRemovivel Branca 62mm;EUR 12,72 ;Imediata;Supplies;Matriciais e Térmicas;Fitas;;;BROTHER;2020-04-21 06:06:59;EUR 12,72 ;EUR 0,00 
 4977766635158;DK44605;Fita BROTHER DK44605 ContinuoRemovivel Amarela 62MM;EUR 13,93 ;Imediata;Supplies;Matriciais e Térmicas;Fitas;;;BROTHER;2020-04-21 06:06:59;EUR 13,93 ;EUR 0,00 
 4977766685177;TZe231;Fita BROTHER TZE-231 Laminada,Branco/Preto 12mm;EUR 9,20 ;Imediata;Supplies;Matriciais e Térmicas;Fitas;;;BROTHER;2020-04-21 06:06:59;EUR 9,20 ;EUR 0,00 
 4977766686716;TZe641;Fita BROTHER TZe641 Laminada,Amarelo/Preto 18mm;EUR 11,02 ;Imediata;Supplies;Matriciais e Térmicas;Fitas;;;BROTHER;2020-04-21 06:06:59;EUR 11,02 ;EUR 0,00 
 4977766686778;TZe661;Fita BROTHER TZe661 Laminada,Amarelo/Preto 36mm;EUR 16,46 ;Imediata;Supplies;Matriciais e Térmicas;Fitas;;;BROTHER;2020-04-21 06:06:59;EUR 16,46 ;EUR 0,00 
 0010343601345;C13S015262;Fita SIDM EPSON - Preto 2M - LQ-670/680/pro/860/1060/25xx;EUR 6,33 ;Limitado;Supplies;Matriciais e Térmicas;Fitas;;;EPSON;2020-04-21 06:06:59;EUR 6,33 ;EUR 0,00 
 0010343600959;C13S015055;Fita SIDM EPSON - Preto 15M - DFX-5000/5000+/8000/8500;EUR 18,29 ;Imediata;Supplies;Matriciais e Térmicas;Fitas;;;EPSON;2020-04-21 06:06:59;EUR 18,29 ;EUR 0,00 
 0010343603936;C13S015329;Fita SIDM EPSON - Preto 7,5M - FX-890/A;EUR 4,69 ;Imediata;Supplies;Matriciais e Térmicas;Fitas;;;EPSON;2020-04-21 06:06:59;EUR 4,69 ;EUR 0,00 
 0010343605527;C13S015336;Fita SIDM EPSON - Preto 8M - LQ-2090;EUR 16,88 ;Imediata;Supplies;Matriciais e Térmicas;Fitas;;;EPSON;2020-04-21 06:06:59;EUR 16,88 ;EUR 0,00 
 4548056142078;C43S015352;Fita ERC05B EPSON - Preto - M-150/150II;EUR 0,98 ;Imediata;Supplies;Matriciais e Térmicas;Fitas;;;EPSON;2020-04-21 06:06:59;EUR 0,98 ;EUR 0,00 
 04548056142054;C43S015354;Fita ERC09B EPSON - Preto - HX-20, M-160/180/190;EUR 0,98 ;Imediata;Supplies;Matriciais e Térmicas;Fitas;;;EPSON;2020-04-21 06:06:59;EUR 0,98 ;EUR 0,00 
 4965957288849;C43S015374;Fita ERC38B EPSON - Preto - TM-U200/U210/U220/U230/U300/U375, preto;EUR 1,69 ;Imediata;Supplies;Matriciais e Térmicas;Fitas;;;EPSON;2020-04-21 06:06:59;EUR 1,69 ;EUR 0,00 
 4965957301838;C43S015376;Fita ERC38BR EPSON - Preto/Vermelho - TM-300/U300/U210D/U220/U230;EUR 1,69 ;Imediata;Supplies;Matriciais e Térmicas;Fitas;;;EPSON;2020-04-21 06:06:59;EUR 1,69 ;EUR 0,00 
 0010343606937;C13S015384;Fita SIDM EPSON - Preto - DFX-9000;EUR 18,76 ;Imediata;Supplies;Matriciais e Térmicas;Fitas;;;EPSON;2020-04-21 06:06:59;EUR 18,76 ;EUR 0,00 
 5031713019589;1126301;Fita OKI 5520, 5521, 5590, 5591;EUR 14,10 ;Imediata;Supplies;Matriciais e Térmicas;Fitas;;;OKI;2020-04-21 06:06:59;EUR 14,10 ;EUR 0,00 
 5031713351009;9002303;Fita OKI 182,280,32x,332x;EUR 8,03 ;Imediata;Supplies;Matriciais e Térmicas;Fitas;;;OKI;2020-04-21 06:06:59;EUR 8,03 ;EUR 0,00 
 8713439145915;14591;Mini-Hub TRUST HU-4440p 4 Portas USB 2.0 - 14591;EUR 6,74 ;Imediata;Periféricos;HUBs USB e Leitores de Cartões;HUBs USB;;;TRUST;2020-04-21 06:06:59;EUR 6,74 ;EUR 0,00 
 8715946466774;C31CA85833;Impressora EPSON TM-T88V - Paralela + USB, Preto;EUR 220,32 ;Limitado;Periféricos;Impressoras;Sistemas de POS;Recibos;;EPSON;2020-04-21 06:06:59;EUR 220,32 ;EUR 0,00 
 8715946221526;C31C514057LG;Impressora EPSON TM-U220B - Serie Preta C/ FA;EUR 132,48 ;Imediata;Periféricos;Impressoras;Sistemas de POS;Recibos;;EPSON;2020-04-21 06:06:59;EUR 132,48 ;EUR 0,00 
 8715946223346;C31C515052LG;Impressora EPSON TM-U220D - Serie C/ FA, Preto;EUR 122,40 ;Imediata;Periféricos;Impressoras;Sistemas de POS;Recibos;;EPSON;2020-04-21 06:06:59;EUR 122,40 ;EUR 0,00 
 8715946223360;C31C517057LG;Impressora EPSON TM-U220PB - Paralela C/FA, Preto;EUR 132,48 ;Limitado;Periféricos;Impressoras;Sistemas de POS;Recibos;;EPSON;2020-04-21 06:06:59;EUR 132,48 ;EUR 0,00 
 8713439165913;16591;Rato Trust Optical Mouse - USB-16591;EUR 4,73 ;Imediata;Periféricos;Teclados e Ratos;Ratos;;;TRUST;2020-04-21 06:06:59;EUR 4,73 ;EUR 0,00 
 4977766651394;C211S;Papel Térmico A6 BROTHER ? 1 Cx de 20 blocos (bloco de 50 folhas) C211S;EUR 31,18 ;Imediata;Supplies;Papel;Papel;;;BROTHER;2020-04-21 06:06:59;EUR 31,18 ;EUR 0,00 
 0010343812031;C13S041068;Papel EPSON Qualidade Foto A3 100F;EUR 27,08 ;Imediata;Supplies;Papel;Papel Fotográfico;;;EPSON;2020-04-21 06:06:59;EUR 27,08 ;EUR 0,00 
 0010343818439;C13S041256;Papel EPSON Mate A4 50F;EUR 9,78 ;Imediata;Supplies;Papel;Papel Fotográfico;;;EPSON;2020-04-21 06:06:59;EUR 9,78 ;EUR 0,00 
 0010343829930;C13S041328;Papel EPSON Photo Premium Semi-Glossy A3+ 20F;EUR 18,24 ;Imediata;Supplies;Papel;Papel Fotográfico;;;EPSON;2020-04-21 06:06:59;EUR 18,24 ;EUR 0,00 
 8715946384320;C13S042154;Papel EPSON Photo Prem. Glossy 13x18cm 30F;EUR 8,00 ;Limitado;Supplies;Papel;Papel Fotográfico;;;EPSON;2020-04-21 06:06:59;EUR 8,00 ;EUR 0,00 
 0000000000000;MK-5145-31A38;Scanner Laser Honeywell USB Eclipse Black - MK-5145-31A38;EUR 42,99 ;Imediata;Periféricos;Acessorios;Sistemas de POS;Leitores Cod Barras;;HONEYWELL;2020-04-21 06:06:59;EUR 42,99 ;EUR 0,00 
 4977766667012;DR230CL;Tambor BROTHER DR-230CL P/HL-3040CN, HL3070CW;EUR 79,13 ;Imediata;Supplies;Laser;Toners;;;BROTHER;2020-04-21 06:06:59;EUR 79,13 ;EUR 0,00 
 4977766654166;DR2100;Tambor BROTHER DR-2100 P/2140,2150N,2170W,7030,7320;EUR 63,30 ;Imediata;Supplies;Laser;Toners;;;BROTHER;2020-04-21 06:06:59;EUR 63,30 ;EUR 0,00 
 4977766679442;TN328M;Toner BROTHER TN-328M MagentaP/HL-4570CDW,9270CDN,9970CDW;EUR 141,37 ;Imediata;Supplies;Laser;Toners;;;BROTHER;2020-04-21 06:06:59;EUR 141,37 ;EUR 0,00 
 4977766630726;TN2000;Toner BROTHER TN-2000 P/2030,204,2070N,2820,7010,7420,7820N;EUR 57,28 ;Imediata;Supplies;Laser;Toners;;;BROTHER;2020-04-21 06:06:59;EUR 57,28 ;EUR 0,00 
 4977766662376;TN2005;Toner BROTHER TN-2005 P/2035;EUR 39,89 ;Imediata;Supplies;Laser;Toners;;;BROTHER;2020-04-21 06:06:59;EUR 39,89 ;EUR 0,00 
 4977766654180;TN2110;Toner BROTHER TN-2110 Preto P/2140/2150N/2170W/7045N/7840W;EUR 37,27 ;Imediata;Supplies;Laser;Toners;;;BROTHER;2020-04-21 06:06:59;EUR 37,27 ;EUR 0,00 
 4977766654203;TN2120;Toner BROTHER TN-2120 Preto P/2140/2150N/2170W/7045N/7840W;EUR 54,46 ;Imediata;Supplies;Laser;Toners;;;BROTHER;2020-04-21 06:06:59;EUR 54,46 ;EUR 0,00 
 4977766666954;TN230BK;Toner BROTHER TN-230BK Preto P/HL-3040,3070/MFC-9120,9320;EUR 52,45 ;Imediata;Supplies;Laser;Toners;;;BROTHER;2020-04-21 06:06:59;EUR 52,45 ;EUR 0,00 
 4977766666985;TN230C;Toner BROTHER TN-230C Cyan P/HL-3040CN, HL3070CW,9320;EUR 50,68 ;Imediata;Supplies;Laser;Toners;;;BROTHER;2020-04-21 06:06:59;EUR 50,68 ;EUR 0,00 
 4977766666978;TN230M;Toner BROTHER TN-230M MagentaP/HL-3040CN, HL3070CW,9320;EUR 50,68 ;Imediata;Supplies;Laser;Toners;;;BROTHER;2020-04-21 06:06:59;EUR 50,68 ;EUR 0,00 
 4977766666961;TN230Y;Toner BROTHER TN-230Y AmareloP/HL-3040CN, HL3070CW,9320;EUR 50,68 ;Imediata;Supplies;Laser;Toners;;;BROTHER;2020-04-21 06:06:59;EUR 50,68 ;EUR 0,00 
 4977766665988;TN3280;Toner BROTHER TN-3280 P/DCP8085DN/8880DNE MFC-8890DW;EUR 97,24 ;Imediata;Supplies;Laser;Toners;;;BROTHER;2020-04-21 06:06:59;EUR 97,24 ;EUR 0,00 
 0010343604575;C13S050166;Toner EPSON S050166 Unidade de Revelação Preto 6K - EPL-6200;EUR 105,47 ;Limitado;Supplies;Laser;Toners;;;EPSON;2020-04-21 06:06:59;EUR 105,47 ;EUR 0,00 
 0010343605886;C13S050191;Toner EPSON S050191 Amarelo 1,5K - AcuLaser C1000/CX11;EUR 77,05 ;Limitado;Supplies;Laser;Toners;;;EPSON;2020-04-21 06:06:59;EUR 77,05 ;EUR 0,00 
 0010343858084;C13S051125;Toner EPSON S051125 Magenta 9K - AcuLaser C3800;EUR 231,12 ;Limitado;Supplies;Laser;Toners;;;EPSON;2020-04-21 06:06:59;EUR 231,12 ;EUR 0,00 
 0010343858091;C13S051126;Toner EPSON S051126 Ciano 9K - AcuLaser C3800;EUR 231,12 ;Imediata;Supplies;Laser;Toners;;;EPSON;2020-04-21 06:06:59;EUR 231,12 ;EUR 0,00 
