PRODUTO;REFERENCIA;P_LIQ;QTD_STOCK;GAMA;FAMILIA;SUB-FAMILIA;MARCA;EAN;DETALHES;IMAGEM_IMPORTADA;ETIQUETA_ENERGETICA;MANUAL_INSTRUCOES;ESQUEMA_TECNICO
FOGAO ORIMA OR-644-ZW;30129;148.15;(5+);QUEIMA;FOGOES;FOGOES MONOBLOCO 60CM;ORIMA;5603883209932;"4 Queimadores a gás, sendo 1 triplo
<br>Mesa de trabalho em inox
<br>Válvula Segurança Total
<br>2 grelhas esmaltadas
<br>Forno a gás
<br>Volume útil do forno: 65 L
<br>Grelhador a Gás
<br>Porta amovível com vidro duplo
<br>Tampo em Vidro
<br>Preparado para gás butano/propano
<br>Inclui kit de injetores para gás natural
<br>Dimensões: A860xL598xP610mm
<br>
<br>Disponível nas cores: branco e half-inox<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/geral/030129.jpg;;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/manuais/5603883209932.pdf;
FOGAO ORIMA OR-444-W S/GRILL SEG. TOTAL;30194;107.67;(5+);QUEIMA;FOGOES;FOGOES MONOBLOCO 50/55CM;ORIMA;5603883208126;"4 queimadores a gás
<br>Mesa de trabalho em inox
<br>Válvulas de segurança total
<br>2 grelhas esmaltadas
<br>Forno a gás
<br>Volume útil do forno: 54 L
<br>Porta amovível com vidro duplo
<br>Grelha e tabuleiro de recolha de molhos
<br>Tampo de vidro
<br>Preparado para gás butano/propano
<br>Inclui kit de injetores para gás natural
<br>Dimensões: A813xL500xP564 mm
<br>
<br>Disponível nas cores: branco 
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/geral/030194.jpg;;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/manuais/5603883208126.pdf;
FORNO ORIMA OR-65-CN;30320;106.02;(5+);ENCASTRE;FORNOS;FORNOS ESTATICOS;ORIMA;5603883208478;"Forno eléctrico estático
<br>4 funções
<br>Volume útil do forno: 70 L
<br>Porta do forno amovível com vidro duplo
<br>Luz no forno
<br>Potência 2.1 kW
<br>Nível de Ruido: 55 dB
<br>Termóstato
<br>Aquecimento superior e inferior
<br>Painel de controlo e laterais em inox
<br>Grelha e tabuleiro de recolha de molhos
<br>Relógio
<br>Classe energética: A
<br>2100 W
<br>Dimensões do Produto: A595xL595xP575 mm
<br>Dimensões de corte: A595xL560xP555mm
<br>
<br>
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/geral/030320.jpg;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/etiquetas/5603883208478.png;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/manuais/5603883208478.pdf;
FRIGORIFICO ORIMA ORA-23;50140;130.62;(5+);FRIO;FRIGORIFICOS 2 PORTAS;FRIGORIFICOS 2P 140-149CM;ORIMA;5603883210167;"Capacidade bruta total: 216 L
<br>Capacidade net do frigorífico: 171 L
<br>Capacidade net do congelador.: 42 L
<br>Portas reversíveis
<br>Descongelação automática
<br>Prateleiras em vidro
<br>Gaveta para frutos e vegetais
<br>Congelador com prateleira em grelha
<br>Capacidade de congelação: 2Kg/24h
<br>Nível Ruído: 41 dB
<br>Consumo anual de energia. 212 kWh
<br>Classificação energética: A+
<br>Dimensões prod.: A1440xL540xP570 mm
<br>
<br>Disponível nas cores: branco
<br>
<br>
<br>
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/geral/050140.jpg;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/etiquetas/5603883210167.png;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/manuais/5603883210167.pdf;
CONGELADOR HORIZONTAL ORIMA ORH-110  A+;226020;115.05;0;FRIO;CONGELADORES HORIZONTAIS;CONGELADORES HORIZONTAIS;ORIMA;5603883205866;"Capacidade bruta total: 102 L
<br>Capacidade net total: 102 L
<br>Super isolada 55 mm
<br>Interruptor de congelação rápida
<br>Interior em alumínio
<br>Exterior plastificado
<br>1 cesto
<br>Pés
<br>Classe climática: tropical
<br>Nº de estrelas: 4
<br>Gás R600a
<br>Capacidade de congelação: 11Kg/24H
<br>Nível de ruído: 41 dB
<br>Consumo anual de energia: 165 kWh
<br>Tempo de subida de temperatura: 31 h
<br>Classificação energética: A+
<br>Dimensões: A850xL550xP650 mm
<br>
<br>
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/geral/226020.jpg;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/etiquetas/5603883205866.png;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/manuais/5603883205866.pdf;
CONGELADOR HORIZONTAL ORIMA ORH-220  A+;226021;173.75;0;FRIO;CONGELADORES HORIZONTAIS;CONGELADORES HORIZONTAIS;ORIMA;5603883205873;"Capacidade bruta total: 211 L
<br>Capacidade net total: 209 L
<br>Super isolada 65 mm
<br>Interruptor de congelação rápida
<br>Interior em alumínio
<br>Exterior plastificado
<br>Tampo com fechadura
<br>1cesto
<br>Rodas
<br>Classe climática: tropical
<br>Nº de estrelas: 4
<br>Gás R600a
<br>Capacidade de congelação: 16.5Kg/24H
<br>Nível de ruído: 39 dB
<br>Consumo anual de energia: 230 kWh
<br>Tempo de subida de temperatura: 37 h
<br>Classificação energética: A+
<br>Dimensões: A860xL890xP690 mm
<br>
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/geral/226021.jpg;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/etiquetas/5603883205873.png;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/manuais/5603883205873.pdf;
CONGELADOR HORIZONTAL ORIMA ORH-290  A+;226022;195.47;0;FRIO;CONGELADORES HORIZONTAIS;CONGELADORES HORIZONTAIS;ORIMA;5603883205880;"Capacidade bruta total: 278 L
<br>Capacidade net total: 278 L
<br>Super isolada 65 mm
<br>Interruptor de congelação rápida
<br>Interior em alumínio
<br>Exterior plastificado
<br>Luz Interior
<br>Tampo com fechadura
<br>1 cesto
<br>Rodas
<br>Classe climática: tropical
<br>Nº de estrelas: 4
<br>Gás R600a
<br>Capacidade de congelação: 24Kg/24H
<br>Nível de ruído: 44 dB
<br>Consumo anual de energia: 257 kWh
<br>Tempo de subida de temperatura: 37 h
<br>Classificação energética: A+
<br>Dimensões: A860xL1090xP690 mm
<br>
<br>
<br>
<br>
<br>
<br>
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/geral/226022.jpg;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/etiquetas/5603883205880.png;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/manuais/5603883205880.pdf;
CONGELADOR HORIZONTAL ORIMA ORH-370  A+;226023;219.54;(5+);FRIO;CONGELADORES HORIZONTAIS;CONGELADORES HORIZONTAIS;ORIMA;5603883205897;"Capacidade bruta total: 352 L
<br>Capacidade net total: 349 L
<br>Super isolada 65 mm
<br>Interruptor de congelação rápida
<br>Interior em alumínio
<br>Exterior plastificado
<br>Luz Interior
<br>Tampo com fechadura
<br>1 cesto
<br>Rodas
<br>Classe climática: tropical
<br>Nº de estrelas: 4
<br>Gás R600a
<br>Capacidade de congelação: 23Kg/24H
<br>Nível de ruído: 44 dB
<br>Consumo anual de energia: 305 kWh
<br>Tempo de subida de temperatura: 37 h
<br>Classificação energética: A+
<br>Dimensões: A860xL1320xP690 mm
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/banner-icons/226023.jpg;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/etiquetas/5603883205897.png;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/manuais/5603883205897.pdf;
CONGELADOR HORIZONTAL ORIMA ORH-430  A+;226024;234.8;0;FRIO;CONGELADORES HORIZONTAIS;CONGELADORES HORIZONTAIS;ORIMA;5603883205903;"Capacidade bruta total: 414 L
<br>Capacidade net total: 411 L
<br>Super isolada 65 mm
<br>Interruptor de congelação rápida
<br>Interior em alumínio
<br>Exterior plastificado
<br>Luz Interior
<br>Tampo com fechadura
<br>1 cesto
<br>Rodas
<br>Classe climática: tropical
<br>Nº de estrelas: 4
<br>Gás R600a
<br>Capacidade de congelação: 24Kg/24H
<br>Nível de ruído: 42 dB
<br>Consumo anual de energia: 318 kWh
<br>Tempo de subida de temperatura: 45 h
<br>Classificação energética: A+
<br>Dimensões: A860xL1510xP690 mm
<br>
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/geral/226024.jpg;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/etiquetas/5603883205903.png;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/manuais/5603883205903.pdf;
CONGELADOR HORIZONTAL ORIMA ORE-120  A+;226030;117.4;0;FRIO;CONGELADORES HORIZONTAIS;CONGELADORES HORIZONTAIS;ORIMA;5603883207327;"Capacidade bruta total: 93 L
<br>Capacidade net total: 88 L
<br>Super isolada 58 mm
<br>Interior em alumínio
<br>Exterior plastificado
<br>1 cesto
<br>Pés
<br>Classe climática: tropical
<br>Nº de estrelas: 4
<br>Gás R600a
<br>Capacidade de congelação: 12Kg/24H
<br>Nível de ruído: 44 dB
<br>Consumo anual de energia: 162 kWh
<br>Tempo de subida de temperatura: 20 h
<br>Classificação energética: A+
<br>Dimensões: A835xL600xP530 mm
<br>
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/geral/226030.jpg;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/etiquetas/5603883207327.png;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/manuais/5603883207327.pdf;
CONGELADOR HORIZONTAL ORIMA ORE-240  A+;226031;167.89;3;FRIO;CONGELADORES HORIZONTAIS;CONGELADORES HORIZONTAIS;ORIMA;5603883206115;"Capacidade bruta total: 186 L
<br>Capacidade net total: 176 L
<br>Super isolada 70 mm
<br>Interruptor de Congelação Rápida
<br>Interior em alumínio
<br>Exterior plastificado
<br>Luz Interior e fechadura
<br>1 cesto
<br>Rodas
<br>Classe climática: tropical
<br>Nº de estrelas: 4
<br>Gás R600a
<br>Capacidade de congelação: 12Kg/24H
<br>Nível de ruído: 49 dB
<br>Consumo anual de energia: 200 kWh
<br>Tempo de subida de temperatura: 34 h
<br>Classificação energética: A+
<br>Dimensões: A860xL830xP660mm
<br>
<br>
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/geral/226031.jpg;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/etiquetas/5603883206115.png;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/manuais/5603883206115.pdf;
CONGELADOR HORIZONTAL ORIMA ORE-320  A+;226032;189.02;(5+);FRIO;CONGELADORES HORIZONTAIS;CONGELADORES HORIZONTAIS;ORIMA;5603883206122;"Capacidade bruta total: 230 L
<br>Capacidade net total: 220 L
<br>Super isolada 70 mm
<br>Interruptor de Congelação Rápida
<br>Interior em alumínio
<br>Exterior plastificado
<br>Luz interior e fechadura
<br>1 cesto
<br>Rodas
<br>Classe climática: tropical
<br>Nº de estrelas: 4
<br>Gás R600a
<br>Capacidade de congelação: 16Kg/24H
<br>Nível de ruído: 52 dB
<br>Consumo anual de energia: 224 kWh
<br>Tempo de subida de temperatura: 41 h
<br>Classificação energética: A+
<br>Dimensões: A860xL990xP660 mm
<br>
<br>
<br>
<br>
<br>
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/geral/226032.jpg;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/etiquetas/5603883206122.png;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/manuais/5603883206122.pdf;
CONGELADOR HORIZONTAL ORIMA ORE-370  A+;226033;207.21;(5+);FRIO;CONGELADORES HORIZONTAIS;CONGELADORES HORIZONTAIS;ORIMA;5603883206139;"Capacidade bruta total: 287 L
<br>Capacidade net total: 285 L
<br>Super isolada 70 mm
<br>Interruptor de congelação rápida
<br>Interior em alumínio
<br>Exterior plastificado
<br>Luz interior e fechadura
<br>1 cesto
<br>Rodas
<br>Classe climática: tropical
<br>Nº de estrelas: 4
<br>Gás R600a
<br>Capacidade de congelação: 18Kg/24H
<br>Nível de ruído: 54 dB
<br>Consumo anual de energia: 234 kWh
<br>Tempo de subida de temperatura: 40 h
<br>Classificação energética: A+
<br>Dimensões: A860xL1170xP660 mm
<br>
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/geral/2260333.jpg;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/etiquetas/5603883206139.png;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/manuais/5603883206139.pdf;
CONGELADOR HORIZONTAL ORIMA ORE-460  A+;226034;231.28;(5+);FRIO;CONGELADORES HORIZONTAIS;CONGELADORES HORIZONTAIS;ORIMA;5603883206146;"Capacidade bruta total: 347 L
<br>Capacidade net total: 344 L
<br>Super isolada 70 mm
<br>Interruptor de congelação rápida
<br>Interior em alumínio
<br>Exterior plastificado
<br>Luz interior e fechadura
<br>2 cestos
<br>Rodas
<br>Classe climática: tropical
<br>Nº de estrelas: 4
<br>Gás R600a
<br>Capacidade de congelação: 20Kg/24H
<br>Nível de ruído: 54 dB
<br>Consumo anual de energia: 293 kWh
<br>Tempo de subida de temperatura: 42 h
<br>Classificação energética: A+
<br>Dimensões: A860xL1400xP660 mm
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/banner-icons/226034.jpg;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/etiquetas/5603883206146.png;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/manuais/5603883206146.pdf;
SECADOR ROUPA ORIMA ORV-70-C- 7KG;228013;121.01;(5+);MAQUINAS ROUPA;SECADORES ROUPA VENTILAÇAO;SECADORES ROUPA VENTILAÇAO 7KG;ORIMA;5603883210129;"Capacidade de carga: 7 Kg
<br>Secagem por ventilação/exaustão
<br>4 programas
<br>3 níveis de temperatura
<br>Diâmetro da porta: 39.5 cm
<br>Ângulo de abertura da porta: 180 º
<br>Consumo anual de energia: 520 Kwh
<br>Nível de ruído: 69 dB
<br>Classificação energética: C
<br>Dimensões (AxLxP): 840x595x555 mm
<br>
<br>
<br>
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/geral/2280133.jpg;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/etiquetas/5603883210129.png;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/manuais/5603883210129.pdf;
FERRO ORIMA ORS-371-IX  CX.6;270414;8.98;(5+);PEQUENOS DOMESTICOS;ROUPA;FERROS DE ENGOMAR A VAPOR;ORIMA;5603883503801;"Potência: 2200 Watt
<br>Base Inox
<br>Funções: Vapor, Seco e Spray
<br>Potente Jacto Vapor
<br>Auto-Limpeza
<br>Vapor Vertical
<br>Luz Indicadora de Funcionamento<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/geral/270414.jpg;;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/manuais/5603883503801.pdf;
ESPREMEDOR CITRINOS ORIMA ORP-883   Cx 12;271537;7.19;(5+);PEQUENOS DOMESTICOS;COZINHA;ESPREMEDORES DE CITRINOS;ORIMA;5603883503733;"Potência: 30 W
<br>Capacidade: 0,5 L
<br>2 cones de tamanhos diferentes
<br>2 filtros ajustáveis para a polpa
<br>Motor com rotação em ambos os sentidos
<br>Tampa protectora transparente
<br>Compartimento para extensão<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/geral/2715372.jpg;;http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/manuais/5603883503733.pdf;
