Referencia,Descrição,CodMarca,NOME_MARCA,Cod.Gama,NOME_GAMA,Cod.Familia,NOME_FAMILIA,SUBFAMILIA,NOME_SUBFAMILIA,PVP_MARCA,PVP_CENTRAL,PR_LIQUIDO,EM_PROMOÇ+O,EXCLUSIVO,OFERTA,FORA_GAMA,PartNr,EAN,Peso(kg),Volume(dm3),Comprimento(mm),Largura(mm),Altura(mm),LinkImagem,Caracteristicas_Resumo,Caracteristicas_Completa,Classe_energetica,Link_Classe_Energetica,Stock,
10400325,"TV TOSHIBA LCD-HDMI-SD-M.HOT-19AV635DG",150,TOSHIBA,2,"IMAGEM E SOM",200,TELEVISÃO,2000218,"TV LCD 19""                                        ",",00","319,00","230,99",não,não,não,sim,19AV635DG,"              ",0,"47,86",160,590,507,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=10400325 ","Diagonal de Ecrã: 48 cm<BR>Ecrã: HD Ready  <BR>Resolução: 1366 x 768 px<BR>Contraste: 10.000  <BR>Brilho: 300 cd/m2<BR>Tempo de Resposta: 5 ms<BR>Som: 6 W<BR>Entradas/Saídas: 1 x HDMI - Vídeo por componente - Vídeo composto - Scart - Saída áudio digital - Entrada PC  <BR>Garantia: 2 anos<BR>-",,,,Não,
10400334,"TV TOSHIBA LCD-FHD-3HDMI-USB -32LV733G",150,TOSHIBA,2,"IMAGEM E SOM",200,TELEVISÃO,2000224,"TV LCD 32""                                        ",",00","539,00","386,37",não,não,não,sim,32LV733G,"5900496506763 ",0,"126,48",930,200,680,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=10400334 ","Diagonal de Ecrã: 81 cm<BR>Ecrã: Full HD  <BR>Resolução: 1920 x 1080 px<BR>Contraste: 50.000:1  <BR>Brilho: 450 cd/m2<BR>Tempo de Resposta: 5 ms<BR>Som: 2 x 10 W<BR>Entradas/Saídas: 3 x HDMI<BR>2 x Scart<BR>USB<BR>Componentes<BR>Entrada PC<BR>Saída auscultadores  <BR>Peso: 12,5 Kg  <BR>Dimensão: 52,4 x 79,9 x 9,5 cm (AxLxP)<BR>Dimensão c/base: 57,8 x 79,9 x 27,1 cm (AxLxP)<BR>Cor: Gloss Black Piano  <BR>Garantia: 2 anos<BR>-",,,,Não,
10400347,"TV TOSHIBA LED-FHD-200HZ-4HDM-46WL753G",150,TOSHIBA,2,"IMAGEM E SOM",200,TELEVISÃO,2000293,"TV LED 46""                                        ",",00","1.829,00","1.316,10",não,não,não,sim,46WL753G,"5900496509139 ",0,"198,03",1230,200,805,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=10400347 ","Diagonal de Ecrã: 117 cm<BR>Ecrã: LED Full HD  <BR>Resolução: 1920 x 1080 px<BR>Contraste: 6.000.000:1  <BR>Brilho: 450 cd/m2<BR>Tempo de Resposta: 5 ms<BR>Freq. de Resposta: 200  <BR>Som: 2 x 10 W<BR>Entradas/Saídas: 4 x HDMI<BR>Componentes<BR>Entrada PC<BR>2 x USB<BR>Cartão SD<BR>DLNA<BR>Saída áudio digital óptica<BR>Função Internet TV  <BR>Peso: 22,5 Kg  <BR>Dimensão: 71,3 x 114 x 5 cm (AxLxP)<BR>Dimensão c/base: 75,6 x 114 x 30,5 cm (AxLxP)<BR>Cor: Gloss Black Piano  <BR>Garantia: 2 anos<BR>","Diagonal de Ecrã:117 cm<br>Ecrã:LED Full HD <br>Resolução:1920 x 1080 px<br>Contraste:6.000.000:1 <br>Brilho:450 cd/m2<br>Tempo de Resposta:5 ms<br>Freq. de Resposta:200 <br>Som:2 x 10 W<br>Entradas/Saídas:4 x HDMI<BR>Componentes<BR>Entrada PC<BR>2 x USB<BR>Cartão SD<BR>DLNA<BR>Saída áudio digital óptica<BR>Função Internet TV <br>Peso:22,5 Kg <br>Dimensão:71,3 x 114 x 5 cm (AxLxP)<br>Dimensão c/base:75,6 x 114 x 30,5 cm (AxLxP)<br>Cor:Gloss Black Piano <br>Características:Varrimento progressivo<BR>Processador de imagem Meta-Brain<BR>Resolution+<BR>Real Digital Picture<BR>3D Colour Management<BR>Filtro digital / controlo de retroiluminação automático<BR>Redução de ruído digital<BR>Fotossensor<BR>Modos: Jogos, PC e Filme<BR>Audyssey EQ<BR>Dolby Digital Plus<BR>SoundNavi<BR>Wi-Fi Protected Setup<BR>Canal Youtube <br>Garantia:2 anos<br>",,,Não,
10400351,"TV TOSHIBA LCD/DVD-2HDMI-USB -22DV733G",150,TOSHIBA,2,"IMAGEM E SOM",230,"TV´S COMBINADOS",2300233,"TV+DVD +20""                                       ",",00","369,00","267,40",não,não,não,sim,22DV733G,"              ",0,"61,161",615,195,510,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=10400351 ","Diagonal de Ecrã: 56 cm<BR>Ecrã: HD Ready  <BR>Resolução: 1366 x 768 px<BR>Contraste: 5.000:1  <BR>Tempo de Resposta: 5 ms<BR>Som: 2 x 3 W<BR>Entradas/Saídas: 2 x HDMI<BR>USB<BR>Scart<BR>Entrada de componentes<BR>REGZA-Link (HDMI-CEC)<BR>Entrada PC<BR>Saída para auscultadores  <BR>Peso: 5,9 Kg  <BR>Dimensão: 37,5 x 55,2 x 6,6 cm (AxLxP)<BR>Cor: Gloss Black Piano  <BR>Garantia: 2 anos<BR>-",,,,Não,
10400371,"TV TOSHIBA LED-2HDMI-USB-DDP -19EL833G",150,TOSHIBA,2,"IMAGEM E SOM",200,TELEVISÃO,2000282,"TV LED 19""                                        ",",00","229,00","165,40",não,não,não,sim,19EL833G,"5900496512863 ",0,"28,393",590,385,125,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=10400371 ","Diagonal de Ecrã: 48 cm<BR>Ecrã: HD Ready  <BR>Resolução: 1366 x 768 px<BR>Contraste: 3.000.000:1  <BR>Brilho: 250 cd/m2<BR>Tempo de Resposta: 5 ms<BR>Freq. de Resposta: 50 Hz  <BR>Som: 2 x 2,5 W<BR>Entradas/Saídas: 2 x HDMI<BR>USB<BR>Vídeo componente<BR>Vídeo composto<BR>Scart<BR>Entrada PC<BR>Saída áudio digital<BR>Auriculares  <BR>Peso: 4 Kg  <BR>Dimensão: 30,2 x 46,2 x 3,4 cm (AxLxP)<BR>Dimensão c/base: 37,6 x 46,2 x 15,9 cm (AxLxP)<BR>Cor: Preto  <BR>Acessórios Incluídos: Telecomando  <BR>C","Diagonal de Ecrã:48 cm<br>Ecrã:HD Ready <br>Resolução:1366 x 768 px<br>Contraste:3.000.000:1 <br>Brilho:250 cd/m2<br>Tempo de Resposta:5 ms<br>Freq. de Resposta:50 Hz <br>Som:2 x 2,5 W<br>Entradas/Saídas:2 x HDMI<BR>USB<BR>Vídeo componente<BR>Vídeo composto<BR>Scart<BR>Entrada PC<BR>Saída áudio digital<BR>Auriculares <br>Peso:4 Kg <br>Dimensão:30,2 x 46,2 x 3,4 cm (AxLxP)<br>Dimensão c/base:37,6 x 46,2 x 15,9 cm (AxLxP)<br>Cor:Preto <br>Características:Imagem Real Digital<BR>Redução digital do ruído<BR>Redução do ruído MPEG<BR>3D Digital Comb Filter<BR>Gestão de cor 3D<BR>Selecção da temperatura de cor<BR>4 modos imagem<BR>Estéreo NICAM<BR>Dolby Digital Plus<BR>Temporizador<BR>Desligar automático<BR>Modo Hotel<BR>Modo clone <br>Acessórios Incluídos:Telecomando <br>Classe Energética:A <br>Garantia:2 anos<br>",A,,Não,
10400372,"TV TOSHIBA LED-2HDMI-USB-DDP -22EL833G",150,TOSHIBA,2,"IMAGEM E SOM",200,TELEVISÃO,2000284,"TV LED 22""                                        ",",00","269,00","192,59",não,não,não,sim,22EL833G,"5900496512917 ",0,"34,056",660,120,430,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=10400372 ","Diagonal de Ecrã: 56 cm<BR>Ecrã: HD Ready  <BR>Resolução: 1366 x 768 px<BR>Contraste: 3.000.000:1  <BR>Tempo de Resposta: 9 ms<BR>Freq. de Resposta: 50 Hz  <BR>Som: 2 x 2,5 W<BR>Entradas/Saídas: 2 x HDMI<BR>USB<BR>Vídeo componente<BR>Vídeo composto<BR>Scart<BR>Entrada PC<BR>Saída áudio digital<BR>Auriculares  <BR>Brilho: 300 cd/m2<BR>Peso: 4,6 Kg  <BR>Dimensão: 34,1 x 53 x 3,5 cm (AxLxP)<BR>Dimensão c/base: 46,7 x 53 x 15,9 cm (AxLxP)<BR>Cor: Preto  <BR>Acessórios Incluídos: Telecomando  <BR>Cla","Diagonal de Ecrã:56 cm<br>Ecrã:HD Ready <br>Resolução:1366 x 768 px<br>Contraste:3.000.000:1 <br>Tempo de Resposta:9 ms<br>Freq. de Resposta:50 Hz <br>Som:2 x 2,5 W<br>Entradas/Saídas:2 x HDMI<BR>USB<BR>Vídeo componente<BR>Vídeo composto<BR>Scart<BR>Entrada PC<BR>Saída áudio digital<BR>Auriculares <br>Brilho:300 cd/m2<br>Peso:4,6 Kg <br>Dimensão:34,1 x 53 x 3,5 cm (AxLxP)<br>Dimensão c/base:46,7 x 53 x 15,9 cm (AxLxP)<br>Cor:Preto <br>Características:Imagem Real Digital<BR>Redução digital do ruído<BR>Redução do ruído MPEG<BR>3D Digital Comb Filter<BR>Gestão de cor 3D<BR>Selecção da temperatura de cor<BR>4 modos imagem<BR>Estéreo NICAM<BR>Dolby Digital Plus<BR>Temporizador<BR>Desligar automático<BR>Modo Hotel<BR>Modo clone <br>Acessórios Incluídos:Telecomando <br>Classe Energética:B <br>Garantia:2 anos<br>",B,,Não,
10400373,"TV TOSHIBA LED-FHD-100HZ-2HDM-32HL833G",150,TOSHIBA,2,"IMAGEM E SOM",200,TELEVISÃO,2000289,"TV LED 32""                                        ",",00","449,00","316,42",não,não,não,sim,32HL833G,"5900496513068 ",0,"66,15",840,125,630,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=10400373 ","Diagonal de Ecrã: 81 cm<BR>Ecrã: Full HD  <BR>Resolução: 1920 x 1080 px<BR>Contraste: 3.000.000:1  <BR>Brilho: 360 cd/m2<BR>Tempo de Resposta: 8 ms<BR>Freq. de Resposta: 50 Hz  <BR>Som: 2 x 5 W<BR>Entradas/Saídas: 2 x HDMI<BR>Vídeo componente<BR>Vídeo Composto<BR>Scart<BR>Entrada PC<BR>USB<BR>Saída Áudio Digital<BR>Auriculares  <BR>Peso: 10 Kg  <BR>Dimensão: 49,5 x 77 x 4,5 cm (AxLxP)<BR>Dimensão c/base: 54,2 x 77 x 20,1 cm (AxLxP)<BR>Cor: Preto  <BR>Acessórios Incluídos: Controlo remoto  <BR>Cl","Diagonal de Ecrã:81 cm<br>Ecrã:Full HD <br>Resolução:1920 x 1080 px<br>Contraste:3.000.000:1 <br>Brilho:360 cd/m2<br>Tempo de Resposta:8 ms<br>Freq. de Resposta:50 Hz <br>Som:2 x 5 W<br>Entradas/Saídas:2 x HDMI<BR>Vídeo componente<BR>Vídeo Composto<BR>Scart<BR>Entrada PC<BR>USB<BR>Saída Áudio Digital<BR>Auriculares <br>Peso:10 Kg <br>Dimensão:49,5 x 77 x 4,5 cm (AxLxP)<br>Dimensão c/base:54,2 x 77 x 20,1 cm (AxLxP)<br>Cor:Preto <br>Características:Imagem Real Digital<BR>Redução digital do ruído<BR>Redução ruído MPEG<BR>3D Digital Comb Filter<BR>Controlo automático de retroiluminação<BR>Gestão de cor 3D<BR>Selecção temperatura de cor<BR>Modo de varrimento extacto<BR>6 modos de imagem<BR>Estéreo NICAM<BR>Virtual Surround Sound<BR>Dolby Pulse<BR>Imagem estática<BR>Temporizador<BR>Bloqueio de painel<BR>Desligar automático<BR>Modo Hotel<BR>Modo clone <br>Acessórios Incluídos:Controlo remoto <br>Classe Energética:B <br>Garantia:2 anos<br>",B,,Não,
10400379,"TV TOSHIBA LED/DVD-2HDMI-USB -19DL833G",150,TOSHIBA,2,"IMAGEM E SOM",230,"TV´S COMBINADOS",2300232,"TV+DVD ATÉ 20""                                    ",",00","269,00","187,16",não,não,não,sim,19DL833G,"5900496515130 ","6,5","27,489",120,595,385,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=10400379 ","Diagonal de Ecrã: 48 cm<BR>Ecrã: LED Edge  <BR>Resolução: 1366 x 768 px<BR>Contraste: 3.000.000:1  <BR>Tempo de Resposta: 5 ms<BR>Freq. de Resposta: 50 Hz  <BR>Som: 2 x 2,5 W<BR>Entradas/Saídas: 2 x HDMI<BR>Vídeo componente<BR>Vídeo Composto<BR>Scart<BR>Entrada PC<BR>USB<BR>Saída Áudio Digital<BR>Auriculares  <BR>Peso: 4,5 Kg  <BR>Dimensão: 30,2 x 46,2 x 5,4 cm (AxLxP)<BR>Cor: Preto  <BR>Classe Energética: A  <BR>Garantia: 2 anos<BR>-",,,,Não,
10400380,"TV TOSHIBA LED/DVD-2HDMI-USB -22DL833G",150,TOSHIBA,2,"IMAGEM E SOM",230,"TV´S COMBINADOS",2300233,"TV+DVD +20""                                       ",",00","329,00","230,16",não,não,não,sim,22DL833G,"5900496515178 ","7,5","33,264",660,120,420,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=10400380 ","Diagonal de Ecrã: 56 cm<BR>Ecrã: LED Edge  <BR>Resolução: 1366 x 768 px<BR>Contraste: 3.000.000:1  <BR>Tempo de Resposta: 9 ms<BR>Freq. de Resposta: 50 Hz  <BR>Som: 2 x 2,5 W<BR>Entradas/Saídas: 2 x HDMI<BR>Vídeo componente<BR>Vídeo Composto<BR>Scart<BR>Entrada PC<BR>USB<BR>Saída Áudio Digital<BR>Auriculares  <BR>Peso: 5 Kg  <BR>Dimensão: 34,1 x 53 x 5,5 cm (AxLxP)<BR>Cor: Preto  <BR>Classe Energética: B  <BR>Garantia: 2 anos<BR>-",,,,Não,
10400384,"TV TOSHIBA LCD-FHD-2HDMI-USB -32LV833G",150,TOSHIBA,2,"IMAGEM E SOM",200,TELEVISÃO,2000224,"TV LCD 32""                                        ",",00","399,00","284,62",não,não,não,sim,32LV833G,"5900496512719 ",0,"16,179",140,187,618,"http://services.sorefoz.pt/redes/imgredes2.aspx?IMG=10400384 ","Diagonal de Ecrã: 81 cm<BR>Ecrã: Full HD  <BR>Resolução: 1920 x 1080 px<BR>Contraste: 5.000  <BR>Brilho: 450 cd/m2<BR>Tempo de Resposta: 6,5 ms<BR>Freq. de Resposta: 50 Hz  <BR>Som: 2 x 5 W<BR>Entradas/Saídas: 2 x HDMI<BR>USB<BR>REGZA-Link<BR>Vídeo componente<BR>Vídeo composto<BR>Scart<BR>Aúdio analógico<BR>Entrada PC<BR>Saída áudio digital<BR>Auriculares  <BR>Peso: 10 Kg  <BR>Dimensão: 51 x 78,5 x 8,6 cm (AxLxP)<BR>Dimensão c/base: 55,8 x 78,5 x 23,3 cm (AxLxP)<BR>Cor: Preto  <BR>Acessórios Inc",,,,Não,
